date,tasa_de_interes
2004-03-15,10.9621
2004-03-16,11.039
2004-03-17,10.9988
2004-03-18,11.0128
2004-03-19,10.9863
2004-03-22,10.9737
2004-03-23,10.9695
2004-03-24,10.9915
2004-03-25,11.013
2004-03-26,11.0578
2004-03-29,11.154
2004-03-30,11.2103
2004-03-31,11.1748
2004-04-01,11.1828
2004-04-02,11.1815
2004-04-05,11.1598
2004-04-06,11.1631
2004-04-07,11.2233
2004-04-12,11.2211
2004-04-13,11.2702
2004-04-14,11.2848
2004-04-15,11.27
2004-04-16,11.2525
2004-04-19,11.251
2004-04-20,11.3065
2004-04-21,11.3119
2004-04-22,11.3256
2004-04-23,11.3433
2004-04-26,11.2881
2004-04-27,11.3109
2004-04-28,11.3387
2004-04-29,11.4068
2004-04-30,11.4093
2004-05-03,11.431
2004-05-04,11.4105
2004-05-05,11.3887
2004-05-06,11.4358
2004-05-07,11.5272
2004-05-10,11.6328
2004-05-11,11.6325
2004-05-12,11.6246
2004-05-13,11.6281
2004-05-14,11.5713
2004-05-17,11.5282
2004-05-18,11.4933
2004-05-19,11.5448
2004-05-20,11.5735
2004-05-21,11.5673
2004-05-24,11.5608
2004-05-25,11.476
2004-05-26,11.4556
2004-05-27,11.4515
2004-05-28,11.4128
2004-05-31,11.4147
2004-06-01,11.4845
2004-06-02,11.4265
2004-06-03,11.4373
2004-06-04,11.4224
2004-06-07,11.3498
2004-06-08,11.3397
2004-06-09,11.3808
2004-06-10,11.366
2004-06-11,11.3689
2004-06-14,11.4327
2004-06-15,11.4259
2004-06-16,11.3991
2004-06-17,11.3523
2004-06-18,11.3312
2004-06-21,11.3143
2004-06-22,11.3077
2004-06-23,11.3425
2004-06-24,11.3004
2004-06-25,11.3175
2004-06-28,11.4116
2004-06-29,11.5297
2004-06-30,11.5258
2004-07-01,11.4922
2004-07-02,11.4763
2004-07-05,11.4432
2004-07-06,11.4948
2004-07-07,11.467
2004-07-08,11.5315
2004-07-09,11.5152
2004-07-12,11.5009
2004-07-13,11.4949
2004-07-14,11.4552
2004-07-15,11.4909
2004-07-16,11.4352
2004-07-19,11.3785
2004-07-20,11.3954
2004-07-21,11.46
2004-07-22,11.4463
2004-07-23,11.434
2004-07-26,11.4582
2004-07-27,11.5111
2004-07-28,11.4801
2004-07-29,11.4302
2004-07-30,11.4079
2004-08-02,11.4253
2004-08-03,11.4052
2004-08-04,11.4527
2004-08-05,11.457
2004-08-06,11.4124
2004-08-09,11.3776
2004-08-10,11.3943
2004-08-11,11.4436
2004-08-12,11.4414
2004-08-13,11.4048
2004-08-16,11.3848
2004-08-17,11.3481
2004-08-18,11.3472
2004-08-19,11.355
2004-08-20,11.3453
2004-08-23,11.3764
2004-08-24,11.3859
2004-08-25,11.3712
2004-08-26,11.366
2004-08-27,11.3739
